Authors,Title,Journal,Volume,Number,Pages,Year,Publisher,Link,Count
"Chibnik, Lori B; White, Charles C; Mukherjee, Shubhabrata; Raj, Towfique; Yu, Lei; Larson, Eric B; Montine, Thomas J; Keene, C Dirk; Sonnen, Joshua; Schneider, Julie A;",Susceptibility to neurofibrillary tangles: role of the PTPRD locus and limited pleiotropy with other neuropathologies,Molecular Psychiatry,23,6,1521,2018,Nature Publishing Group,https://www.nature.com/articles/mp201720,57
"Ye, Chun Jimmie; Chen, Jenny; Villani, Alexandra-Chloe; Gate, Rachel E; Subramaniam, Meena; Bhangale, Tushar; Lee, Mark N; Raj, Towfique; Raychowdhury, Raktima; Li, Weibo;",Genetic analysis of isoform usage in the human anti-viral response reveals influenza-specific regulation of ERAP2 transcripts under balancing selection,Genome Research,,,,2018,Cold Spring Harbor Lab,https://genome.cshlp.org/content/28/12/1812.long,56
"Dobbyn, Amanda; Huckins, Laura M; Boocock, James; Sloofman, Laura G; Glicksberg, Benjamin S; Giambartolomei, Claudia; Hoffman, Gabriel E; Perumal, Thanneer M; Girdhar, Kiran; Jiang, Yan;",Landscape of Conditional eQTL in Dorsolateral Prefrontal Cortex and Co-localization with Schizophrenia GWAS,The American Journal of Human Genetics,,,,2018,Cell Press,https://www.cell.com/ajhg/fulltext/S0002-9297(18)30158-7,55
"Raj, Towfique; Li, Yang I; Wong, Garrett; Humphrey, Jack; Wang, Minghui; Ramdhani, Satesh; Wang, Ying-Chih; Ng, Bernard; Gupta, Ishaan; Haroutunian, Vahram;",Integrative transcriptome analyses of the aging brain implicate altered splicing in Alzheimer's disease susceptibility,Nature Genetics,50,11,1584,2018,Nature Publishing Group,https://www.nature.com/articles/s41588-018-0238-1,54
"Brynedal, Boel; Choi, JinMyung; Raj, Towfique; Bjornson, Robert; Stranger, Barbara E; Neale, Benjamin M; Voight, Benjamin F; Cotsapas, Chris;",Large-scale trans-eQTLs affect hundreds of transcripts and mediate patterns of transcriptional co-regulation,The American Journal of Human Genetics,100,4,581-591,2017,Cell Press,https://www.cell.com/ajhg/fulltext/S0002-9297(17)30071-X,53
"Raj, Towfique; Chibnik, Lori B; McCabe, Cristin; Wong, Andus; Replogle, Joseph M; Yu, Lei; Gao, Sujuan; Unverzagt, Frederick W; Stranger, Barbara; Murrell, Jill;",Genetic architecture of age-related cognitive decline in African Americans,Neurology Genetics,3,1,e125,2017,Lippincott Williams & Wilkins,http://ng.neurology.org/content/3/1/e125.short,52
"Calderon, Diego; Bhaskar, Anand; Knowles, David A; Golan, David; Raj, Towfique; Fu, Audrey Q; Pritchard, Jonathan K;",Inferring relevant cell types for complex traits by using single-cell gene expression,The American Journal of Human Genetics,101,5,686-699,2017,Cell Press,https://www.sciencedirect.com/science/article/pii/S0002929717303786?via%3Dihub,51
"Pimenova, Anna A; Raj, Towfique; Goate, Alison M;",Untangling genetic risk for Alzheimer's disease,Biological Psychiatry,,,,2017,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006322317315871?via%3Dihub,50
"Huang, Kuan-lin; Marcora, Edoardo; Pimenova, Anna A; Di Narzo, Antonio F; Kapoor, Manav; Jin, Sheng Chih; Harari, Oscar; Bertelsen, Sarah; Fairfax, Benjamin P; Czajkowski, Jake;",A common haplotype lowers PU.1 expression in myeloid cells and delays onset of Alzheimer's disease,Nature Neuroscience,20,8,1052,2017,Nature Publishing Group,https://www.nature.com/articles/nn.4587,49
"Raj, Towfique; Li, Yang; Wong, Garrett; Ramdhani, Satesh; Wang, Ying-chih; Ng, Bernard; Wang, Minghui; Gupta, Ishaan; Haroutunian, Vahram; Zhang, Bin;",Integrative analyses of splicing in the aging brain: role in susceptibility to Alzheimer's Disease,Nature Genetics,,,174565,2017,Cold Spring Harbor Laboratory,https://www.nature.com/articles/s41588-018-0238-1,48
"Hohman, Timothy J; Cooke-Bailey, Jessica N; Reitz, Christiane; Jun, Gyungah; Naj, Adam; Beecham, Gary W; Liu, Zhi; Carney, Regina M; Vance, Jeffrey M; Cuccaro, Michael L;",Global and local ancestry in African-Americans: Implications for Alzheimer's disease risk,Alzheimer's & Dementia,12,3,233-243,2016,Elsevier,https://www.sciencedirect.com/science/article/pii/S1552526015001909?via%3Dihub,47
"Mostafavi, Sara; Yoshida, Hideyuki; Moodley, Devapregasan; LeBoitÍ©, Hugo; Rothamel, Katherine; Raj, Towfique; Ye, Chun Jimmie; Chevrier, Nicolas; Zhang, Shen-Ying; Feng, Ting;",Parsing the interferon transcriptional network and its disease associations,Cell,164,3,564-578,2016,Cell Press,https://www.cell.com/cell/fulltext/S0092-8674(15)01696-7?code=cell-site&rss=yes,46
"Cukier, Holly N; Kunkle, Brian W; Vardarajan, Badri N; Rolati, Sophie; Hamilton-Nelson, Kara L; Kohli, Martin A; Whitehead, Patrice L; Dombroski, Beth A; Van Booven, Derek; Lang, Rosalyn;",ABCA7 frameshift deletion associated with Alzheimer's disease in African Americans,Neurology Genetics,2,3,e79,2016,"Wolters Kluwer Health, Inc. on behalf of the American Academy of Neurology",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4871806/,45
"Fromer, Menachem; Roussos, Panos; Sieberts, Solveig K; Johnson, Jessica S; Kavanagh, David H; Perumal, Thanneer M; Ruderfer, Douglas M; Oh, Edwin C; Topol, Aaron; Shah, Hardik R;",Gene expression elucidates functional impact of polygenic risk for schizophrenia,Nature Neuroscience,19,11,1442,2016,Nature Publishing Group,https://www.nature.com/articles/nn.4399,44
"Replogle, Joseph M; Chan, Gail; White, Charles C; Raj, Towfique; Winn, Phoebe A; Evans, Denis A; Sperling, Reisa A; Chibnik, Lori B; Bradshaw, Elizabeth M; Schneider, Julie A;",A TREM1 variant alters the accumulation of Alzheimer's related amyloid pathology,Annals of Neurology,77,3,469-477,2015,,https://onlinelibrary.wiley.com/doi/full/10.1002/ana.24337,43
"Esposito, Federica; Sorosina, Melissa; Ottoboni, Linda; Lim, Elaine T; Replogle, Joseph M; Raj, Towfique; Brambilla, Paola; Liberatore, Giuseppe; Guaschino, Clara; Romeo, Marzia;",A pharmacogenetic study implicates SLC9a9 in multiple sclerosis disease activity,Annals of Neurology,78,1,115-127,2015,,https://onlinelibrary.wiley.com/doi/full/10.1002/ana.24429,42
"Tilburgs, Tamara; Crespo, Í_ngela C; van der Zwan, Anita; Rybalov, Basya; Raj, Towfique; Stranger, Barbara; Gardner, Lucy; Moffett, Ashley; Strominger, Jack L;",Human HLA-G+ extravillous trophoblasts: Immune-activating cells that interact with decidual leukocytes,Proceedings of the National Academy of Sciences,,,201507977,2015,National Academy of Sciences,https://www.pnas.org/content/112/23/7219.long,41
"Sul, Jae Hoon; Raj, Towfique; de Jong, Simone; De Bakker, Paul IW; Raychaudhuri, Soumya; Ophoff, Roel A; Stranger, Barbara E; Eskin, Eleazar; Han, Buhm;",Accurate and fast multiple-testing correction in eQTL studies,The American Journal of Human Genetics,96,6,857-868,2015,Cell Press,https://www.cell.com/ajhg/fulltext/S0002-9297(15)00149-4,40
"Okada, Yukinori; Raj, Towfique; Yamamoto, Kazuhiko;",Ethnically shared and heterogeneous impacts of molecular pathways suggested by the genome-wide meta-analysis of rheumatoid arthritis,Rheumatology,55,1,186-189,2015,Oxford University Press,https://academic.oup.com/rheumatology/article/55/1/186/1795004,39
"Ghani, Mahdi; Reitz, Christiane; Cheng, Rong; Vardarajan, Badri Narayan; Jun, Gyungah; Sato, Christine; Naj, Adam; Rajbhandary, Ruchita; Wang, Li-San; Valladares, Otto;",Association of long runs of homozygosity with Alzheimer disease among African American individuals,JAMA Neurology,72,11,1313-1323,2015,American Medical Association,https://jamanetwork.com/journals/jamaneurology/fullarticle/2436594,38
"Croteau-Chonka, Damien C; Rogers, Angela J; Raj, Towfique; McGeachie, Michael J; Qiu, Weiliang; Ziniti, John P; Stubbs, Benjamin J; Liang, Liming; Martinez, Fernando D; Strunk, Robert C;",Expression quantitative trait loci information improves predictive modeling of disease relevance of non-coding genetic variation,PloS One,10,10,e0140758,2015,Public Library of Science,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0140758,37
"Peters, Marjolein J; Joehanes, Roby; Pilling, Luke C; Schurmann, Claudia; Conneely, Karen N; Powell, Joseph; Reinmaa, Eva; Sutphin, George L; Zhernakova, Alexandra; Schramm, Katharina;",The transcriptional landscape of age in human peripheral blood,Nature Communications,6,,8570,2015,Nature Publishing Group,https://www.nature.com/articles/ncomms9570,36
"Orent, William; Mchenry, Allison R; Rao, Deepak A; White, Charles; Klein, Hans-Ulrich; Bassil, Ribal; Srivastava, Gyan; Replogle, Joseph M; Raj, Towfique; Frangieh, Michael;",Rheumatoid arthritis-associated RBPJ polymorphism alters memory CD4+ T cells,Human Molecular Genetics,25,2,404-417,2015,Oxford University Press,https://academic.oup.com/hmg/article/25/2/404/2384628,35
"Okada, Yukinori; Wu, Di; Trynka, Gosia; Raj, Towfique; Terao, Chikashi; Ikari, Katsunori; Kochi, Yuta; Ohmura, Koichiro; Suzuki, Akari; Yoshida, Shinji;",Genetics of rheumatoid arthritis contributes to biology and drug discovery,Nature,506,7488,376,2014,Nature Publishing Group,https://www.nature.com/articles/nature12873,34
"Okada, Yukinori; Diogo, Dorothee; Greenberg, Jeffrey D; Mouassess, Faten; Achkar, Walid AL; Fulton, Robert S; Denny, Joshua C; Gupta, Namrata; Mirel, Daniel; Gabriel, Stacy;",Integration of sequence data from a consanguineous family with genetic data from an outbred population identifies PLB1 as a candidate rheumatoid arthritis risk gene,PLoS One,9,2,e87645,2014,Public Library of Science,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0087645,33
"Lee, Mark N; Ye, Chun; Villani, Alexandra-ChloÍ©; Raj, Towfique; Li, Weibo; Eisenhaure, Thomas M; Imboywa, Selina H; Chipendo, Portia I; Ran, F Ann; Slowikowski, Kamil;",Common genetic variants modulate pathogen-sensing responses in human dendritic cells,Science,343,6175,1246980,2014,American Association for the Advancement of Science,http://science.sciencemag.org/content/343/6175/1246980.long,32
"Ferraro, Alessandra; D_„_Alise, Anna Morena; Raj, Towfique; Asinovski, Natasha; Phillips, Roxanne; Ergun, Ayla; Replogle, Joseph M; Bernier, Angelina; Laffel, Lori; Stranger, Barbara E;",Interindividual variation in human T regulatory cells,Proceedings of the National Academy of Sciences,,,201401343,2014,National Academy of Sciences,https://www.pnas.org/content/111/12/E1111,31
"Raj, Towfique; Rothamel, Katie; Mostafavi, Sara; Ye, Chun; Lee, Mark N; Replogle, Joseph M; Feng, Ting; Lee, Michelle; Asinovski, Natasha; Frohlich, Irene;",Polarization of the effects of autoimmune and neurodegenerative risk alleles in leukocytes,Science,344,6183,519-523,2014,American Association for the Advancement of Science,http://science.sciencemag.org/content/344/6183/519/tab-article-info,30
"Hutchinson, John N; Raj, Towfique; Fagerness, Jes; Stahl, Eli; Viloria, Fernando T; Gimelbrant, Alexander; Seddon, Johanna; Daly, Mark; Chess, Andrew; Plenge, Robert;",Allele-specific methylation occurs at genetic variants associated with complex disease,PloS One,9,6,e98464,2014,Public Library of Science,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0098464,29
